date,transactions_count_total,transactions_count_mean
2024-01-19,1173934,163.88859416
2024-01-18,1204406,168.3777436
2024-01-17,1181029,165.34075318
2024-01-16,1269778,177.19480882
2024-01-15,1154132,161.21413605
2024-01-14,1961144,273.97932383
2024-01-13,1212202,169.46763596
2024-01-12,1209875,169.21328671
2024-01-11,1209246,169.69492001
2024-01-10,1247106,174.66470588
2024-01-09,1078832,151.37252701
2024-01-08,1073535,151.43673297
2024-01-07,1049831,148.21841028
2024-01-06,994947,140.96727118
2024-01-05,1069252,150.59887324
2024-01-04,1116573,156.64604377
2024-01-03,1092220,153.20802357
2024-01-02,1128657,158.4747262
2024-01-01,1101465,154.98311524
2023-12-31,1061956,148.7958526
2023-12-30,1090893,153.47397299
2023-12-29,1110469,156.07434996
2023-12-28,1185508,166.31705948
2023-12-27,1137685,160.05697805
2023-12-26,1116447,156.32133856
2023-12-25,1102694,155.17787785
2023-12-24,1140411,160.2826423
2023-12-23,1121929,157.41953136
2023-12-22,1205712,169.08035339
2023-12-21,1242003,173.85260358
2023-12-20,1246531,175.17299044
2023-12-19,1153138,162.09418049
2023-12-18,1137970,159.46889013
2023-12-17,1081782,151.89300758
2023-12-16,1056961,148.70019696
2023-12-15,1162222,162.91309223
2023-12-14,1157276,162.35634119
2023-12-13,1081514,151.5362197
2023-12-12,1076667,150.66708648
2023-12-11,1087662,152.20570949
2023-12-10,1129096,157.93761365
2023-12-09,1120555,157.0504555
2023-12-08,1182465,165.75063078
2023-12-07,1159526,162.69482251
2023-12-06,1126986,158.21788572
2023-12-05,1197166,167.67030812
2023-12-04,1158630,162.04615385
2023-12-03,1030989,144.59873773
2023-12-02,1210135,169.08411346
2023-12-01,1119260,156.51796951
2023-11-30,1119717,156.71336599
2023-11-29,1151825,161.09440559
2023-11-28,1155016,161.65374388
2023-11-27,1077314,150.96889013
2023-11-26,989613,138.69838823
2023-11-25,985612,137.94429671
2023-11-24,1068410,149.76310625
2023-11-23,1123339,157.22029391
2023-11-22,1142003,159.89960795
2023-11-21,1129495,158.12613748
2023-11-20,1151945,161.17881629
2023-11-19,983460,137.75878975
2023-11-18,1134614,159.49030082
2023-11-17,1084679,151.72457686
2023-11-16,1093005,152.76100629
2023-11-15,1075386,150.44571908
2023-11-14,1050000,146.64804469
2023-11-13,1088278,152.16414989
2023-11-12,1061494,148.58538634
2023-11-11,1107685,155.07279854
2023-11-10,1146191,160.23920034
2023-11-09,1125199,157.34848273
2023-11-08,1066274,149.06668531
2023-11-07,1055975,147.68881119
2023-11-06,1101645,154.29201681
2023-11-05,1034459,145.00406504
2023-11-04,1013882,142.09978977
2023-11-03,1104674,154.73791848
2023-11-02,1045341,146.59108119
2023-11-01,1101380,154.01761991
2023-10-31,1089606,152.71282411
2023-10-30,1094713,153.34262502
2023-10-29,1071556,150.05685478
2023-10-28,991315,138.74247726
2023-10-27,1034649,144.56462205
2023-10-26,1091779,152.71772276
2023-10-25,1081158,151.69889154
2023-10-24,1098323,153.76214476
2023-10-23,1063574,148.93908416
2023-10-22,980622,137.26511758
2023-10-21,987400,138.1558696
2023-10-20,1087921,152.02920626
2023-10-19,997931,139.62935497
2023-10-18,1010682,141.49265015
2023-10-17,1002389,140.19426573
2023-10-16,1027904,143.44180854
2023-10-15,921231,128.77145653
2023-10-14,898577,125.63996085
2023-10-13,1007291,141.11669936
2023-10-12,1004069,140.54717245
2023-10-11,1005828,140.97098809
2023-10-10,1005950,140.69230769
2023-10-09,993579,139.11775413
2023-10-08,924403,129.30521751
2023-10-07,996807,139.31614256
2023-10-06,993544,138.9572028
2023-10-05,955796,133.65906866
2023-10-04,983598,137.45081051
2023-10-03,1002455,140.3212486
2023-10-02,1016845,141.83916864
2023-10-01,922694,128.88587792
2023-09-30,977771,136.56019553
2023-09-29,1024678,143.53242751
2023-09-28,1030538,144.43419762
2023-09-27,1056862,147.89560593
2023-09-26,1041222,145.70696893
2023-09-25,990751,138.60534415
2023-09-24,883746,123.77394958
2023-09-23,863503,120.90492859
2023-09-22,974991,136.80244142
2023-09-21,1131119,158.42002801
2023-09-20,1012663,141.63118881
2023-09-19,1002911,140.52276867
2023-09-18,979571,137.73495501
2023-09-17,879624,124.8933693
2023-09-16,922374,130.27881356
2023-09-15,1002709,141.40586659
2023-09-14,1071590,150.50421348
2023-09-13,1627860,228.27934371
2023-09-12,1092958,153.20409308
2023-09-11,1021616,143.02337953
2023-09-10,866548,121.3992715
2023-09-09,929400,130.22278268
2023-09-08,1014297,142.07830228
2023-09-07,1017089,142.21043065
2023-09-06,1058940,148.45646993
2023-09-05,994049,139.20305279
2023-09-04,952440,132.98519966
2023-09-03,1038128,145.2943317
2023-09-02,1024172,143.76361595
2023-09-01,1006635,140.9458135
2023-08-31,1010128,141.35572348
2023-08-30,1027316,143.92210703
2023-08-29,1019692,143.01430575
2023-08-28,995843,139.33720442
2023-08-27,907110,127.01064128
2023-08-26,990794,138.66955913
2023-08-25,1025742,143.56081176
2023-08-24,1055235,147.68859342
2023-08-23,1045220,146.02123498
2023-08-22,1040834,145.48979592
2023-08-21,1010718,141.47788354
2023-08-20,943440,132.09745169
2023-08-19,1041484,145.8048439
2023-08-18,1081417,151.43775382
2023-08-17,1065879,149.28277311
2023-08-16,1076026,150.45106264
2023-08-15,1056395,147.74755245
2023-08-14,1009971,141.21518456
2023-08-13,920802,128.65753807
2023-08-12,972839,136.13755947
2023-08-11,1050203,146.9226357
2023-08-10,1037733,145.21872376
2023-08-09,1076595,150.65701092
2023-08-08,1098689,153.81338373
2023-08-07,1047336,146.64463736
2023-08-06,987506,138.34491454
2023-08-05,1124372,157.14493361
2023-08-04,1075359,150.35780201
2023-08-03,1049539,146.89139258
2023-08-02,1042149,145.53121072
2023-08-01,1068108,149.15626309
2023-07-31,1048101,146.40326861
2023-07-30,981157,137.3400056
2023-07-29,991161,138.64330676
2023-07-28,1014601,142.02141657
2023-07-27,998420,139.71732438
2023-07-26,1029348,143.90437579
2023-07-25,990249,138.69033613
2023-07-24,1036300,144.95733669
2023-07-23,977305,136.72425853
2023-07-22,1004374,140.45224444
2023-07-21,1110882,155.58571429
2023-07-20,1049510,146.90789474
2023-07-19,1093783,153.4272689
2023-07-18,1175963,164.97797419
2023-07-17,1036419,145.21773855
2023-07-16,946750,133.28875123
2023-07-15,950700,134.66005666
2023-07-14,1110332,156.20877884
2023-07-13,1121269,157.83628941
2023-07-12,1041317,146.47868899
2023-07-11,1091428,153.41973573
2023-07-10,1057858,148.93115585
2023-07-09,954379,134.19277278
2023-07-08,1014086,142.56797413
2023-07-07,1038341,145.79345689
2023-07-06,914280,128.46424055
2023-07-05,760586,106.61424166
2023-07-04,931944,131.03824522
2023-07-03,1061564,149.26377953
