category,symbol,startTime,openPrice,highPrice,lowPrice,closePrice,volume,turnover
linear,BTCUSDT,2020-03-30T00:00:00+00:00,5904.5,5904.5,5904.5,5904.5,0,0
linear,BTCUSDT,2020-03-30T01:00:00+00:00,5904.5,5904.5,5886,5892,250.403,1475374.476
linear,BTCUSDT,2020-03-30T02:00:00+00:00,5892,5996,5892,5974.5,874.366,5223899.6670000004
linear,BTCUSDT,2020-03-30T03:00:00+00:00,5974.5,5997,5974.5,5991.5,31,185736.5
linear,BTCUSDT,2020-03-30T04:00:00+00:00,5991.5,6025.5,5991.5,6022.5,11.06,66608.85
linear,BTCUSDT,2020-03-30T05:00:00+00:00,6022.5,6223.5,6022.5,6196,765.285,4741705.8600000003
linear,BTCUSDT,2020-03-30T06:00:00+00:00,6196,6218,6183,6184,17.042,105387.728
linear,BTCUSDT,2020-03-30T07:00:00+00:00,6184,6319,6184,6238,450.417,2809701.2459999998
linear,BTCUSDT,2020-03-30T08:00:00+00:00,6238,6286,6195,6263,296.096,1854449.2479999999
linear,BTCUSDT,2020-03-30T09:00:00+00:00,6263,6277.5,6236.5,6239,170.303,1062520.4169999999
linear,BTCUSDT,2020-03-30T10:00:00+00:00,6239,6300,6239,6269.5,387.157,2427280.8114999998
linear,BTCUSDT,2020-03-30T11:00:00+00:00,6269.5,6386,6264.5,6351,132.017,838439.9669999999
linear,BTCUSDT,2020-03-30T12:00:00+00:00,6351,6373,6280,6301.5,157.33,991414.995
linear,BTCUSDT,2020-03-30T13:00:00+00:00,6301.5,6338,6296.5,6298,438.945,2764475.6099999999
linear,BTCUSDT,2020-03-30T14:00:00+00:00,6298,6331.5,6261.5,6321.5,145.93,922496.495
linear,BTCUSDT,2020-03-30T15:00:00+00:00,6321.5,6422.5,6317.5,6340,115.239,730615.26
linear,BTCUSDT,2020-03-30T16:00:00+00:00,6340,6383.5,6309.5,6372,147.671,940959.612
linear,BTCUSDT,2020-03-30T17:00:00+00:00,6372,6383.5,6327,6351,644.217,4091422.1669999999
linear,BTCUSDT,2020-03-30T18:00:00+00:00,6351,6366,6323,6360.5,233.434,1484756.9569999999
