datetime,range_0d_1d,range_1d_1w,range_1w_1m,range_1m_3m,range_3m_6m,range_6m_12m,range_12m_18m,range_18m_2y,range_2y_3y,range_3y_5y,range_5y_7y,range_7y_10y,range_10y_inf,range_0d_1d_percent,range_1d_1w_percent,range_1w_1m_percent,range_1m_3m_percent,range_3m_6m_percent,range_6m_12m_percent,range_12m_18m_percent,range_18m_2y_percent,range_2y_3y_percent,range_3y_5y_percent,range_5y_7y_percent,range_7y_10y_percent,range_10y_inf_percent
2023-09-11 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
2023-09-10 23:00:00,0.05092488,0.00534883,0.00384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.71425237,8.89785375,6.38789388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-09-10 22:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
2023-09-10 21:00:00,0.01090557,0.71610736,0.08822021,0.20166616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.07243362,70.42067587,8.6754126,19.83147791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-09-10 20:00:00,0.00100914,0.01103674,0.0,0.01945147,0.00504126,0.02961344,0.03477591,0.00501746,0.0,0.0,0.0,0.0,0.0,0.95250932,10.41738284,0.0,18.35989701,4.75835576,27.95159998,32.82436371,4.73589137,0.0,0.0,0.0,0.0,0.0
2023-09-10 19:00:00,0.00748592,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.04358319,0.0,76.95641681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-09-10 18:00:00,0.01664989,0.01202076,0.00060686,0.00539498,0.01376341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.37510194,24.81787269,1.25291364,11.13839115,28.41572057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-09-10 17:00:00,0.07196949,0.0074077,0.014658,0.00472693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.87155237,7.50054778,14.84172272,4.78617713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-09-10 16:00:00,0.00712639,0.0,0.0050081,0.01052845,0.0287573,0.03330034,0.06737255,0.0129128,0.0,0.0,0.0,0.0,0.0,4.31886902,0.0,3.03510304,6.38064947,17.42804031,20.18129894,40.83038107,7.82565814,0.0,0.0,0.0,0.0,0.0
2023-09-10 15:00:00,0.00455108,0.00605714,0.0041643,0.0347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.19920796,12.24344343,8.41740021,70.1399484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-09-10 14:00:00,0.10953216,0.0,0.00228779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.9540413,0.0,2.0459587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-09-10 13:00:00,0.04160862,0.03287226,0.00497732,0.00502852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.24871033,38.90819764,5.89124539,5.95184663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-09-10 12:00:00,0.03390609,0.00664784,0.0,0.01088706,0.028381,0.01138046,0.00476392,0.01908757,0.0,0.0,0.0,0.0,0.0,29.46973394,5.77802029,0.0,9.46257034,24.66756028,9.89141267,4.14059701,16.59010548,0.0,0.0,0.0,0.0,0.0
2023-09-10 11:00:00,0.1014198,0.00868857,0.00970141,0.02979666,0.00879002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.02908247,5.48533092,6.1247644,18.81144313,5.54937907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-09-10 10:00:00,0.12184107,0.0,0.00850178,0.00194943,0.00293599,0.047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.86178275,0.0,4.66545613,1.06977364,1.61116055,25.79182692,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-09-10 09:00:00,0.05411909,0.00966324,0.31408448,0.0,0.00103033,0.0,0.0,0.00188243,0.0529428,0.0,0.0,0.0,0.0,12.47781847,2.22797823,72.41602041,0.0,0.23755519,0.0,0.0,0.43401727,12.20661042,0.0,0.0,0.0,0.0
2023-09-10 08:00:00,0.0262405,0.10127291,0.00232993,0.00022383,0.003,0.00332956,0.00342661,0.0,0.0,0.0,0.0,0.0,0.0,18.76689543,72.42918815,1.6663384,0.16008057,2.14556454,2.38126196,2.45067097,0.0,0.0,0.0,0.0,0.0,0.0
2023-09-10 07:00:00,0.07290775,0.0194813,0.00846288,0.00107816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.52721046,19.11241322,8.30263174,1.05774458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-09-10 06:00:00,0.17122701,0.00211729,0.02102655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.09294706,1.08930429,10.81774865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-09-10 05:00:00,0.33049124,0.08334497,0.00314435,0.00099979,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,73.7736019,18.60460397,0.70189463,0.2231772,0.0,0.0,0.0,0.0,0.0,6.6967223,0.0,0.0,0.0
2023-09-10 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
2023-09-10 03:00:00,0.00058654,0.00190746,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.82679477,25.45316253,66.7200427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-09-10 02:00:00,0.00475704,0.00046471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.10049313,8.89950687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-09-10 01:00:00,0.0,0.0,5.027e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-09-10 00:00:00,0.00305218,0.00108138,0.00321598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.52885759,14.71357391,43.7575685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-09-09 23:00:00,0.0,0.0022,0.0,0.0,0.0,0.0,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.79069767,0.0,0.0,0.0,0.0,87.20930233,0.0,0.0,0.0,0.0,0.0,0.0
2023-09-09 22:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
2023-09-09 21:00:00,0.02037986,0.00127277,0.00259241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.05785266,5.24960982,10.69253753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-09-09 20:00:00,0.01723284,0.0,0.00098777,0.01276764,0.00883236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.27618286,0.0,2.48054965,32.06289406,22.18037343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-09-09 19:00:00,0.05806671,0.00458777,0.0017269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.19177595,7.12592678,2.68229727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-09-09 18:00:00,0.0,0.00102175,0.0351056,0.00199476,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.54660086,87.49689386,4.97172257,4.9847827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-09-09 17:00:00,0.016979,0.01538317,0.01494882,0.0,0.0,0.0,0.02573497,0.01041319,0.0,0.0,0.0,0.0,0.0,20.3440845,18.4319754,17.91154116,0.0,0.0,0.0,30.8354087,12.47699024,0.0,0.0,0.0,0.0,0.0
2023-09-09 16:00:00,0.01395789,0.00100901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.25839018,6.74160982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-09-09 15:00:00,0.02633558,0.01910042,0.01269575,0.03236163,0.00644899,0.00402273,0.01011982,0.005193,0.0,0.0,0.0,0.0,0.0,22.64882275,16.42652363,10.91845296,27.831277,5.54618624,3.45958201,8.70313126,4.46602416,0.0,0.0,0.0,0.0,0.0
2023-09-09 14:00:00,0.05639165,0.00014062,0.00772408,4.023e-05,0.01068268,0.00765938,0.00273316,0.0,0.0,0.0,0.0,0.0,0.0,66.05418885,0.16471481,9.04757777,0.04712329,12.51312494,8.97179162,3.20147871,0.0,0.0,0.0,0.0,0.0,0.0
2023-09-09 13:00:00,0.02775883,0.00085946,0.00138568,0.00074651,0.00240835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.71474506,2.59194911,4.17891705,2.25131586,7.26307291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-09-09 12:00:00,0.04803211,0.00828744,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.79708145,14.45831309,1.74460546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-09-09 11:00:00,0.0,0.0028643,0.00356021,0.01130215,0.0,0.00570172,0.00250159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.04629122,13.73009687,43.58720816,0.0,21.98891861,9.64748513,0.0,0.0,0.0,0.0,0.0,0.0
2023-09-09 10:00:00,0.0183276,0.0716724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.364,79.636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-09-09 09:00:00,0.09677354,0.00709784,0.0430034,0.00100158,0.02199202,0.03185323,0.06930349,0.03968521,0.0,0.0,0.0,0.0,0.0,31.14590565,2.28439153,13.84035181,0.32235171,7.07798206,10.25174543,22.30485689,12.77241492,0.0,0.0,0.0,0.0,0.0
2023-09-09 08:00:00,0.01804556,0.00695836,0.00210586,0.00232004,0.0,0.0049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.5652625,20.2691421,6.13420053,6.75808961,0.0,14.27330525,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-09-09 07:00:00,0.43370737,0.02022824,0.0079283,0.00473058,0.0,0.06999237,0.02437419,0.0,0.0,0.0,0.0,0.0,0.0,77.31505957,3.60599724,1.41334233,0.84329919,0.0,12.47722458,4.34507708,0.0,0.0,0.0,0.0,0.0,0.0
2023-09-09 06:00:00,0.0,0.00652642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-09-09 05:00:00,0.01355743,0.0064922,0.08070189,0.0232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.93768757,5.23769293,65.10762434,18.71699516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-09-09 04:00:00,0.01579087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-09-09 03:00:00,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-09-09 02:00:00,0.0513816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-09-09 01:00:00,0.00194069,0.00735667,0.00373393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.89253942,56.45388906,28.65357152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-09-09 00:00:00,0.01010133,0.00030286,0.0,0.00132014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.15699149,2.58317533,0.0,11.25983318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-09-08 23:00:00,0.01209069,0.70015847,0.00965437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.67483459,96.98781636,1.33734905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-09-08 22:00:00,0.0,0.00225467,0.0,0.0,0.00096861,0.00192846,0.00096405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.86637376,0.0,0.0,15.83785578,31.53247577,15.76329468,0.0,0.0,0.0,0.0,0.0,0.0
2023-09-08 21:00:00,0.00553751,0.00029361,0.00010241,0.01303004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.20077812,1.54828442,0.54003545,68.71090201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-09-08 20:00:00,0.01482243,0.0,0.00097485,0.00349287,0.0,0.01549938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.60600819,0.0,2.80213616,10.04000341,0.0,44.55185224,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-09-08 19:00:00,0.0,0.01,0.0,0.00269057,0.01834769,0.0,0.01901174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.98001998,0.0,5.37576424,36.65872128,0.0,37.98549451,0.0,0.0,0.0,0.0,0.0,0.0
